SUBZONE_C,SUBZONE_N,PLN_AREA_N,TOTAL_POPULATION,CHILDREN_0_9,ADOLESCENT_10_19,ADULT_20_34,SENIOR_35_59,ELDERLY_60_ABOVE,X_COORDINATE,Y_COORDINATE,SHAPE_Leng,SHAPE_Area
HGSZ06,KOVAN,HOUGANG,26070,2200,3090,5550,9920,5310,33270.7913,38331.4768,5644.28775,1948613.205
SKSZ01,KRANJI,SUNGEI KADUT,0,0,0,0,0,0,19766.8432,46226.3545,7899.952343,3652031.033
JESZ04,LAKESIDE,JURONG EAST,970,60,60,210,350,290,16697.0118,35114.9062,8828.63383,3108023.274
KLSZ06,LAVENDER,KALLANG,10230,880,940,1850,4090,2470,30874.4064,32569.5264,3609.150463,757907.6111
BTSZ07,LEEDON PARK,BUKIT TIMAH,6370,660,730,1070,2560,1350,23947.764,33247.6811,7565.170053,2049551.25
RVSZ03,LEONIE HILL,RIVER VALLEY,2520,240,270,420,1210,380,28082.9397,31145.1079,2676.352563,368482.9883
LKSZ01,LIM CHU KANG,LIM CHU KANG,0,0,0,0,0,0,15309.8168,45819.0414,18733.83625,17494884.18
RCSZ02,LITTLE INDIA,ROCHOR,3710,210,320,620,1460,1100,30307.5102,32122.9908,2203.280258,278303.5433
BLSZ02,LIU FANG,BOON LAY,0,0,0,0,0,0,14079.1004,33391.5623,7135.442501,2338909.489
TPSZ05,LORONG 8 TOA PAYOH,TOA PAYOH,8060,530,740,1460,3040,2290,30646.8429,35893.1126,3271.271192,439646.7616
HGSZ07,LORONG AH SOO,HOUGANG,33440,2430,3560,6640,12860,7950,33930.3169,37657.026,5438.211022,1515533.891
SGSZ05,LORONG CHUAN,SERANGOON,8380,730,1140,1610,3230,1670,31327.7628,36732.6316,5440.347324,1180126.112
HGSZ10,LORONG HALUS,HOUGANG,0,0,0,0,0,0,35870.2568,39071.4384,5788.960001,1333532.986
SESZ01,LORONG HALUS NORTH,SENGKANG,0,0,0,0,0,0,36619.2153,40404.6157,3930.096752,924866.0165
YSSZ05,LOWER SELETAR,YISHUN,4620,860,540,1360,1570,290,29437.6195,43432.0454,15209.76279,8453312.38
PRSZ07,LOYANG EAST,PASIR RIS,2200,150,270,470,850,460,43592.3311,38890.0948,4185.462898,970068.0722
PRSZ06,LOYANG WEST,PASIR RIS,190,0,0,0,0,190,43294.8337,39888.7716,6203.002065,2114789.488
RCSZ06,MACKENZIE,ROCHOR,120,10,20,30,60,0,29680.0182,32062.9263,1216.480631,55681.28248
GLSZ02,MACPHERSON,GEYLANG,29180,2300,2880,5860,11080,7060,33774.3483,34399.1614,4585.78818,1263409.404
NVSZ03,MALCOLM,NOVENA,2630,310,320,370,1030,600,28070.2584,33930.2568,5346.80972,1321089.881
MDSZ02,MANDAI EAST,MANDAI,0,0,0,0,0,0,25739.2736,45391.7648,11572.52954,7235809.441
MDSZ03,MANDAI ESTATE,MANDAI,2160,210,320,440,850,340,27082.698,45367.4603,1633.708416,143137.9411
MDSZ01,MANDAI WEST,MANDAI,0,0,0,0,0,0,22549.0736,44455.8474,9630.62719,4387133.117
QTSZ05,MARGARET DRIVE,QUEENSTOWN,13670,2060,1050,3100,5010,2450,25202.7614,31065.9731,5969.645039,1026467.393
DTSZ03,MARINA CENTRE,DOWNTOWN CORE,0,0,0,0,0,0,30938.0985,30471.8267,4047.111169,886954.8092
MESZ01,MARINA EAST,MARINA EAST,0,0,0,0,0,0,32344.0489,30103.2495,6470.949643,1844060.675
MPSZ05,MARINA EAST (MP),MARINE PARADE,0,0,0,0,0,0,33715.6975,30512.2476,6657.151393,1590339.796
MSSZ01,MARINA SOUTH,MARINA SOUTH,0,0,0,0,0,0,31595.8357,29220.1873,5267.381024,1630379.268
MPSZ03,MARINE PARADE,MARINE PARADE,28460,2810,2920,4420,10970,7340,36263.9827,31684.2656,6019.279096,1160017.478
BMSZ01,MARITIME SQUARE,BUKIT MERAH,2650,370,240,400,1320,320,25805.7867,27911.4193,13737.11618,2701634.34
BSSZ02,MARYMOUNT,BISHAN,31000,2860,3700,6740,12180,5520,29287.5853,37383.764,6383.479273,1964134.532
PGSZ03,MATILDA,PUNGGOL,37400,8170,3010,10000,12930,3290,35089.9853,42728.2745,5361.915964,1418284.255
DTSZ07,MAXWELL,DOWNTOWN CORE,0,0,0,0,0,0,29392.0478,29096.7539,1419.801857,63664.96677
QTSZ06,MEI CHIN,QUEENSTOWN,16440,1260,1720,3100,6260,4100,24651.0693,30651.134,3580.442857,748683.9959
WDSZ02,MIDVIEW,WOODLANDS,36050,3530,5780,8660,13900,4180,23349.76,46841.1143,4159.20144,936415.5261
NTSZ05,MONK'S HILL,NEWTON,990,100,120,150,430,190,28922.8456,32259.7856,2446.733416,171720.6207
NVSZ02,MOULMEIN,NOVENA,8580,1340,920,1280,3740,1300,29057.4415,33323.9221,5388.741938,1347456.011
RCSZ07,MOUNT EMILY,ROCHOR,1180,130,90,220,590,150,29583.2555,31639.481,2301.2303,193992.3453
NVSZ05,MOUNT PLEASANT,NOVENA,690,50,80,160,230,170,27515.3125,35112.6183,7234.110745,3142950.108
MPSZ01,MOUNTBATTEN,MARINE PARADE,10360,1050,1240,1870,4110,2090,34449.7044,31557.7446,5430.267061,1713623.005
TNSZ01,NASSIM,TANGLIN,8750,1160,1010,1280,3690,1610,27002.6928,32905.576,6241.332877,2096085.23
QTSZ11,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,310,30,20,180,70,10,21688.9243,30930.1213,5625.416891,1755950.439
BPSZ07,NATURE RESERVE,BUKIT PANJANG,3860,390,540,740,1600,590,21822.6273,37285.2615,9051.909119,4141322.431
YSSZ07,NEE SOON,YISHUN,910,90,100,150,380,190,25921.7245,43261.5225,7074.070778,2206695.555
NTSZ03,NEWTON CIRCUS,NEWTON,230,40,20,30,110,30,28587.1626,32653.9428,2399.4073,213581.642
WDSZ09,NORTH COAST,WOODLANDS,14240,1020,1630,3150,5500,2940,22147.036,48031.5522,10847.88198,2450783.607
NESZ01,NORTH-EASTERN ISLANDS,NORTH-EASTERN ISLANDS,0,0,0,0,0,0,50424.7923,42612.8784,62436.23535,67250562.96
YSSZ02,NORTHLAND,YISHUN,30550,2550,3530,7060,12240,5170,28520.5814,46642.7243,5057.119921,1511000.363
PGSZ01,NORTHSHORE,PUNGGOL,320,30,50,60,120,60,36169.5574,44222.7655,5355.637118,1360000.631
QTSZ08,ONE NORTH,QUEENSTOWN,590,90,50,90,310,50,23299.2437,31176.1605,6591.907914,2051652.622
RVSZ01,ONE TREE HILL,RIVER VALLEY,1860,130,210,290,800,430,27315.5592,31563.7968,2464.413094,340743.3416
NTSZ01,ORANGE GROVE,NEWTON,1460,160,110,200,630,360,27668.1841,32484.764,2476.246298,336221.4941
RVSZ04,OXLEY,RIVER VALLEY,1390,120,110,230,580,350,28802.3555,31053.6717,1989.487026,200052.6848
CLSZ09,PANDAN,CLEMENTI,0,0,0,0,0,0,19228.6033,32265.401,5689.646944,1312922.681
SKSZ04,PANG SUA,SUNGEI KADUT,0,0,0,0,0,0,18535.5677,43826.0836,7561.990107,2175380.058
QTSZ13,PASIR PANJANG 1,QUEENSTOWN,4110,420,410,860,1690,730,22077.3383,29893.7812,6571.323082,1084792.321
QTSZ14,PASIR PANJANG 2,QUEENSTOWN,3450,270,380,730,1300,770,23692.6385,28894.4099,5797.231319,853206.5717
PRSZ03,PASIR RIS CENTRAL,PASIR RIS,27960,2880,3630,6860,11060,3530,40755.9017,39341.7477,5273.239002,1511487.384
PRSZ05,PASIR RIS DRIVE,PASIR RIS,58170,4640,8170,13650,22920,8790,42032.458,38988.2187,5311.060366,1639669.017
PRSZ04,PASIR RIS PARK,PASIR RIS,4860,640,680,910,2260,370,41529.798,40218.9437,8533.963998,1719704.595
PRSZ01,PASIR RIS WAFER FAB PARK,PASIR RIS,0,0,0,0,0,0,38612.4965,41196.6819,10606.6469,5325421.575
PRSZ02,PASIR RIS WEST,PASIR RIS,35620,3180,5650,7580,14900,4310,39851.4092,40140.2237,5128.49489,1583440.164
RVSZ02,PATERSON,RIVER VALLEY,190,20,20,40,90,20,27809.3171,31511.3733,1753.92708,173121.7736
PLSZ02,PAYA LEBAR EAST,PAYA LEBAR,0,0,0,0,0,0,38065.4483,37522.396,7470.111952,2259239.74
PLSZ01,PAYA LEBAR NORTH,PAYA LEBAR,0,0,0,0,0,0,38291.9788,39463.3319,4812.862905,1287387.263
PLSZ03,PAYA LEBAR WEST,PAYA LEBAR,0,0,0,0,0,0,36649.3106,39403.4873,5898.475695,609894.668
